HashOwner,HashApp,HashFunction,Average,Count,Minimum,Maximum,percentile_Average_0,percentile_Average_1,percentile_Average_25,percentile_Average_50,percentile_Average_75,percentile_Average_99,percentile_Average_100
c21e5054a535517fafc56f185449e08d332c2e9287d6f33cfce5d72b42033c3e,e9074dab7d9e7ecc1cbd0245012f7a80a905d72f6e24d09b3b3d0c1d8137b3cb,35196c9a3cee4e22d988206fbd9c69327d752d7e77c145cea2a4c5babd743855,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
30a876e80855f9f46187a876eb5d2d39a93fb3d1b9f31eb7d3b2859ee5a90ab1,8f044447f82ae4606a5762193ff61b14dbf25e24a816197e01a73fd8eba1a93e,7ea6943a3283f724c12c50663db0f70b1f95d21e3966c2b10f1256c53053852a,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
ea942f438bcc45a8e026c84d50ec7115c1491a5c0219b201b3345304dc0a8976,a84bf1f761a125f96352e38629a75144992d0ebdace85f9eb8c17c6c2c1f4881,64ed5f699bdba800098055d974043d9aa0ad9783013ff4ad4a305b5d8f0a9b55,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
b602a90cb8ff998be304c3b3c0d755ae638062ca83dc4fe237cda67a2a1899f0,3d7322c54ad4c156f573c247ae7addef21e87b588712204d439465358c03d3bf,6641a525ff49a5a47695d10f2347760569aac6a94b442ecd0b9527f9367d67b5,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
97cac0576c1545d895cd50cc96835fce3d43b42caa42c32a9b3814bd678ab96a,b20f1f81af25ddcc12132f8185c60a6b7171d60695d9eda0236808ca68a3f187,f0b843dffb726230cdd2a1460e92ce25d7964cbad920609d670d71a6bfdaff6b,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
9f0c09fc065ea484418928bd5c77fa66383fe672449fb6f9fa1bc88162294279,6cc5171af55c170c1fb732b85ca7120a6b5d9d4929bc28feefeb4821b230d529,baf710add7ae105a369dd4aac18105bd1909aa3a5ee44b628d217bb8bfec793c,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
a13876e7f5f1150478cae3c59d1924a385e62076dcc68970cb55df18ab72c969,0d5134c5b914e413573a538688676d188b6acf2b2d090253757029a816f87cfc,0f6ad4a21372a0c1c319392c078c4eb047f709fb795876869258aa3474b6e191,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
6c10326cf10b75d6fd0a586d896d195e1ad7ff52d20bd92342783b550e45becf,8ce7938e8939815e83e5a6b8db0eab6ae6e103a1772f8de9c5115d171db6d251,385b673840001e318e7be10fe52c60d3391d92199d00c90eb601cc3fec223070,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
6c3d59649e35dbb123096085713161551af4fd6da6396ae73e9fb5da0c7d68db,215f4b669020102ca54d8a5d7f6bf45fd25bb2a90ce9dc6f37784518c5936e72,e4c9b86e49fc4881785f57664c7080bfe0cbf49fb876216af1214f227685cb15,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
cfba776c81103080119c74c578b5607a59416bc3363f52627f85aae80546077e,9419f11c20c6043c1591ecce56e8cea6301e1c0a582b22066526c09213e91964,e975d822ac93a2cdeead8eec4978520cdaaaec6a85612f839fdc854ce6475b38,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
ab7afd7b4089648053a27af9ccc9f1e9a2a7c44a74afb6f1fe7424173a39b877,9e2cf6ee9c55c02e1f9d2e3cf78f9c9363a56bcb85a3d6f6a2702d6934248dfc,182c44f29d261f67e970881c0a8d950d44011aad156a68f30e6d27f59ec5b119,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
efd511e7a6bb48fbff316406582068e230ca1ce80e7bfa67cf2e398acd43cb35,7bd7e2bf570cbfd6ebd72c628aa8bff1fc9627b8052d8960fd94609af575d663,cbb155892986a500d75907ab964bf26e67caee4e2fee16607e5e36a558c7c07d,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
f96e634eb2b18b9b608122195770dcfe4cbc000ee90e5c967940cb71cec002a5,731cb2669db506b18bfca33c1fe8f63a1bf8ed671bbeda51cd18ad783d2853eb,07f58313aa95ffc4d64c9a6a8967a8a6adb416d6b2caf430c21b22378af1e525,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
78c343d753f256685bb340a88fd8f9b3573dff1de641a0dcd6daad0992cd8f99,5ac703b73c911d468cb643b8ac045cb1b744e6010e8e855929d2070a3ed69ea0,4b47dbc47e9b424def502945d932a760c4f142c2d0a30e851c429174d6bce88e,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
d61f941f624ea4a33f5f76f2b0ed748d382b56e518ed2e900c6fd63905d92b7a,ba35a84448835efcc4539208989259c90935737e010d3d8e2293f97c4ab8ba72,46282419a9fe625d1dfbc4a86465ecdf89742964a116978cb459bb0c6e82793b,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
